dE_OH (eV),dE_OH (eV)
"-1,14",
"1,48",
"1,28",
"0,36",
"1,09",
"-1,16",
"1,21",
"1,09",
"0,60",
"0,50","1,70"
"1,64","2,43"
"0,55","1,67"
"1,18","1,45"
"1,16","-1,66"
"-2,72","0,37"
"1,54","1,96"
"0,70","2,79"
"1,94","1,77"
"-1,58","2,11"
"1,56","1,96"
"0,70","2,79"
"1,50","1,77"
"1,50","1,96"
"1,20","2,09"
"1,80","1,53"
"1,28","1,63"
"-1,15","1,72"
"1,37","1,97"
"-1,63","1,70"
"-3,81","1,40"
"-2,79","0,69"
"-1,52","1,40"
"0,18","1,40"
"-0,23","0,65"
"-1,86","1,41"
"0,10","-0,68"
"-1,76","-0,52"
"-1,46","1,41"
"-1,41","1,40"
"-1,89","0,69"
"-1,54","1,40"
"-3,76","1,40"
"-1,93","0,69"
"-0,96","1,40"
"-3,83","1,40"
"-3,04","-0,51"
"-2,68","1,40"
"0,20","1,40"
"-5,05","-0,51"
"-1,41","1,40"
"0,97","1,40"
"-2,04","0,69"
"1,55","1,40"
"-1,10","9,99"
"0,64","3,56"
"1,90","3,64"
"1,11","3,67"
"-1,03","3,63"
"1,82","3,59"
"-1,03","3,58"
"1,54","16,43"
"1,82","3,63"
"1,75","3,62"
"-2,05","2,01"
"1,24","2,01"
"0,52",
"0,78",
"0,44",
"-1,39",
"0,92",
"0,47",
"-1,46",
"0,28",
"-0,11",