dE_OH (eV),dE_OOH (eV)
1.70,2.18
2.43,5.71
1.67,5.25
1.45,5.01
-1.66,1.68
0.37,1.22
1.96,5.39
2.79,5.41
1.77,5.14
2.11,5.52
1.96,5.05
2.79,2.23
1.77,5.15
1.96,5.40
2.09,5.42
1.53,5.09
1.63,5.10
1.72,5.51
1.97,2.46
1.70,2.46
1.40,4.90
0.69,4.10
1.40,4.89
1.40,5.41
0.65,4.97
1.41,5.32
-0.68,3.93
-0.52,2.90
1.41,4.92
1.40,5.49
0.69,2.93
1.40,5.12
1.40,5.41
0.69,2.87
1.40,4.89
1.40,4.91
-0.51,2.88
1.40,4.90
1.40,4.90
-0.51,4.12
1.40,4.92
1.40,4.90
0.69,4.09
1.40,5.30
9.99,9.04
3.56,8.02
3.64,7.66
3.67,7.62
3.63,7.58
3.59,9.43
3.58,12.14
16.43,8.39
3.63,7.85
3.62,7.65
2.01,5.38
2.01,5.45